mode,run,completion_us,still_blocked_at_300ms,outcome
atomic_flag_only,1,311897,true,"Ok(MailboxChanged)"
clone_shutdown_both,1,2983122,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,1,2987305,false,"Ok(MailboxChanged)"
token_sliced_read,1,82558,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,2,314944,true,"Ok(MailboxChanged)"
clone_shutdown_both,2,2986526,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,2,2977133,false,"Ok(MailboxChanged)"
token_sliced_read,2,74963,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,3,302924,true,"Ok(MailboxChanged)"
clone_shutdown_both,3,2988326,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,3,2972893,false,"Ok(MailboxChanged)"
token_sliced_read,3,78957,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,4,302356,true,"Ok(MailboxChanged)"
clone_shutdown_both,4,2989550,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,4,2984838,false,"Ok(MailboxChanged)"
token_sliced_read,4,89963,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,5,314780,true,"Ok(MailboxChanged)"
clone_shutdown_both,5,2979458,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,5,2990645,false,"Ok(MailboxChanged)"
token_sliced_read,5,77125,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,6,304969,true,"Ok(MailboxChanged)"
clone_shutdown_both,6,2979242,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,6,2982283,false,"Ok(MailboxChanged)"
token_sliced_read,6,80621,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,7,304528,true,"Ok(MailboxChanged)"
clone_shutdown_both,7,2983765,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,7,2986804,false,"Ok(MailboxChanged)"
token_sliced_read,7,80234,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,8,302193,true,"Ok(MailboxChanged)"
clone_shutdown_both,8,2988541,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,8,2981929,false,"Ok(MailboxChanged)"
token_sliced_read,8,84830,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,9,312588,true,"Ok(MailboxChanged)"
clone_shutdown_both,9,2985478,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,9,2980545,false,"Ok(MailboxChanged)"
token_sliced_read,9,83362,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
atomic_flag_only,10,303635,true,"Ok(MailboxChanged)"
clone_shutdown_both,10,2983363,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,10,2982619,false,"Ok(MailboxChanged)"
token_sliced_read,10,85866,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"watch cancelled\" }))"
