placement,phase,run,completion_us,native_reads_window,native_timeouts_window,tls_read_calls_window,done_before_release,still_alive,outcome
above,idle,1,87812,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,2,76503,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,3,84853,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,4,89659,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,5,80267,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,6,76364,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,7,80764,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,8,78212,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,9,80117,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,idle,10,76035,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,done,1,76571,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,2,86613,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,3,75326,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,4,80130,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,5,81370,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,6,79548,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,7,79913,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,8,77534,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,9,74639,0,0,0,0,false,"Ok(MailboxChanged)"
above,done,10,83387,0,0,0,0,false,"Ok(MailboxChanged)"
above,partial,1,76676,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,2,80904,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,3,81204,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,4,83738,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,5,80968,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,6,80799,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,7,78293,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,8,78122,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,9,81282,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial,10,80705,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
above,partial_resume,1,358564,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,2,356708,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,3,366217,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,4,351568,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,5,361188,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,6,365594,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,7,350866,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,8,358953,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,9,364940,3,3,3,0,true,"Ok(MailboxChanged)"
above,partial_resume,10,357477,3,3,3,0,true,"Ok(MailboxChanged)"
above,quiet,1,10009660,90,90,90,0,true,"Ok(MailboxChanged)"
below,idle,1,73158,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,2,83722,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,3,76105,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,4,81709,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,5,79392,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,6,69376,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,7,69903,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,8,81366,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,9,81032,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,idle,10,77026,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,done,1,75738,0,0,0,0,false,"Ok(MailboxChanged)"
below,done,2,80749,0,0,0,0,false,"Ok(MailboxChanged)"
below,done,3,83290,0,0,0,0,false,"Ok(MailboxChanged)"
