mode,run,completion_us,still_blocked_at_300ms,outcome
atomic_flag_only,1,310458,true,"Ok(MailboxChanged)"
clone_shutdown_both,1,2987922,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,1,2984046,false,"Ok(MailboxChanged)"
atomic_flag_only,2,304123,true,"Ok(MailboxChanged)"
clone_shutdown_both,2,2989139,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,2,2976382,false,"Ok(MailboxChanged)"
atomic_flag_only,3,311386,true,"Ok(MailboxChanged)"
clone_shutdown_both,3,2990292,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,3,2976843,false,"Ok(MailboxChanged)"
atomic_flag_only,4,308732,true,"Ok(MailboxChanged)"
clone_shutdown_both,4,2979644,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,4,2981583,false,"Ok(MailboxChanged)"
atomic_flag_only,5,305264,true,"Ok(MailboxChanged)"
clone_shutdown_both,5,2975130,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,5,2982932,false,"Ok(MailboxChanged)"
atomic_flag_only,6,309166,true,"Ok(MailboxChanged)"
clone_shutdown_both,6,2981561,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,6,2983699,false,"Ok(MailboxChanged)"
atomic_flag_only,7,304008,true,"Ok(MailboxChanged)"
clone_shutdown_both,7,2978072,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,7,2988856,false,"Ok(MailboxChanged)"
atomic_flag_only,8,300511,true,"Ok(MailboxChanged)"
clone_shutdown_both,8,2978503,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,8,2989491,false,"Ok(MailboxChanged)"
atomic_flag_only,9,303437,true,"Ok(MailboxChanged)"
clone_shutdown_both,9,2985237,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,9,2981142,false,"Ok(MailboxChanged)"
atomic_flag_only,10,313577,true,"Ok(MailboxChanged)"
clone_shutdown_both,10,2981372,false,"Ok(MailboxChanged)"
same_handle_shutdown_both,10,2986436,false,"Ok(MailboxChanged)"
