scenario,repeat,outcome,complete_payloads,elapsed_us
GreetingEof,1,Retry,0,1379
GreetingEof,2,Retry,0,421
GreetingEof,3,Retry,0,299
MailEof,1,Retry,0,495
MailEof,2,Retry,0,456
MailEof,3,Retry,0,329
RcptEof,1,Retry,0,390
RcptEof,2,Retry,0,416
RcptEof,3,Retry,0,445
SecondRcpt450,1,Retry,0,487
SecondRcpt450,2,Retry,0,418
SecondRcpt450,3,Retry,0,487
SecondRcpt550,1,Refused,0,507
SecondRcpt550,2,Refused,0,389
SecondRcpt550,3,Refused,0,708
FinalEof,1,Unknown,1,449
FinalEof,2,Unknown,1,477
FinalEof,3,Unknown,1,403
Final451,1,Retry,1,1214
Final451,2,Retry,1,463
Final451,3,Retry,1,418
Final550,1,Refused,1,528
Final550,2,Refused,1,466
Final550,3,Refused,1,481
Final250QuitEof,1,Sent,1,572
Final250QuitEof,2,Sent,1,500
Final250QuitEof,3,Sent,1,560
Final354,1,Unknown,1,760
Final354,2,Unknown,1,504
Final354,3,Unknown,1,582
