identifiant	occurrences	fichiers
page	1513	e2e/launch.mjs;e2e/tests/banc-ram-kiosque.spec.js;e2e/tests/barres-fil.spec.js;e2e/tests/demarrage.spec.js;e2e/tests/espacement.spec.js;e2e/tests/horizon-import.spec.js;e2e/tests/kiosque-images.spec.js;e2e/tests/menu-clavier.spec.js;e2e/tests/mode-organise.spec.js;e2e/tests/nettoyage.spec.js;e2e/tests/refonte-defilement.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-invitations.spec.js;e2e/tests/refonte-langue.spec.js;e2e/tests/refonte-onboarding.spec.js;e2e/tests/refonte-parcours-portes.spec.js;e2e/tests/refonte-reconnexion.spec.js;e2e/tests/refonte-retours-3.spec.js;e2e/tests/refonte-retours-6.spec.js;e2e/tests/refonte-retours-7.spec.js;e2e/tests/refonte-retours-8.spec.js;e2e/tests/refonte-retrait-compte.spec.js;e2e/tests/refonte-volets.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-12-entete.spec.js;e2e/tests/retours-12.spec.js;e2e/tests/retours-14-reception.spec.js;e2e/tests/retours-14.spec.js;e2e/tests/retours-9-nom-compte.spec.js;e2e/tests/sections-liste.spec.js;e2e/tests/selection-multiple.spec.js
lignes	59	e2e/tests/espacement.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-volets.spec.js;e2e/tests/retours-14-reception.spec.js;e2e/tests/sections-liste.spec.js;e2e/tests/selection-multiple.spec.js
dossier	55	e2e/capture-accueil.mjs;e2e/diag-v2.mjs;e2e/rebuild-v2.mjs;e2e/tests/refonte-defilement.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-3.spec.js;e2e/tests/refonte-volets.spec.js;e2e/tests/selection-multiple.spec.js;scripts/mesurer-sessions.mjs
volet	49	e2e/tests/barres-fil.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-8.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-12-entete.spec.js;e2e/tests/retours-14.spec.js
cadre	35	e2e/geste-defilement.mjs;e2e/tests/barres-fil.spec.js;e2e/tests/espacement.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-7.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-14-reception.spec.js;e2e/tests/retours-14.spec.js
carte	35	e2e/tests/mode-organise.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-invitations.spec.js
barre	34	e2e/tests/barres-fil.spec.js;e2e/tests/retours-14.spec.js;e2e/tests/selection-multiple.spec.js
ligne	29	e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-parcours-portes.spec.js;e2e/tests/refonte-retours-3.spec.js;e2e/tests/refonte-retours-7.spec.js;e2e/tests/retours-14-reception.spec.js;scripts/mesurer-sessions.mjs
nom	29	e2e/coherence-systeme.mjs;e2e/flaky.mjs;e2e/garde-thread-principal.mjs;e2e/launch.mjs;e2e/tests/kiosque-images.spec.js;e2e/tests/mode-organise.spec.js;e2e/tests/retours-14-reception.spec.js
corps	27	e2e/garde-thread-principal.mjs;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-parcours-portes.spec.js;e2e/tests/refonte-retours-6.spec.js;e2e/tests/refonte-retours-7.spec.js
rangee	25	e2e/tests/menu-clavier.spec.js;e2e/tests/refonte-retours-7.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-9-nom-compte.spec.js
