identifiant	occurrences	fichiers
appel	142	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/ModaleMigration.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/Retour.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js;apps/desktop/ui-v2/src/lib/liens.js;apps/desktop/ui-v2/src/lib/transport.js
ligne	93	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js;apps/desktop/ui-v2/src/lib/invitation.js;apps/desktop/ui-v2/src/main.js
nom	88	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/theme.js
fil	79	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
carte	72	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte
etat	72	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Lecture.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/espacement.svelte.js;apps/desktop/ui-v2/src/lib/largeurs.svelte.js;apps/desktop/ui-v2/src/lib/organise.svelte.js;apps/desktop/ui-v2/src/lib/texte.svelte.js;apps/desktop/ui-v2/src/lib/volets.svelte.js;apps/desktop/ui-v2/src/main.js
menu	69	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Registre.svelte;apps/desktop/ui-v2/src/lib/icones.js
bilan	68	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/ModaleMigration.svelte
liste	44	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Menu.svelte
cle	42	apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte
jeton	42	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Registre.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
visible	38	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/ModaleMigration.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/Retour.svelte
icone	37	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/invitation.js
texte	37	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Retour.svelte;apps/desktop/ui-v2/src/lib/invitation.js
ouvert	35	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Registre.svelte;apps/desktop/ui-v2/src/TriSection.svelte
boite	34	apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Menu.svelte
categorie	32	apps/desktop/ui-v2/src/App.svelte
volets	32	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Onboarding.svelte;apps/desktop/ui-v2/src/Reglages.svelte
total	31	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Liste.svelte
chargerNav	29	apps/desktop/ui-v2/src/App.svelte
PAGE	28	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Registre.svelte
version	28	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/Retour.svelte
cartes	27	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/PileMisDeCote.svelte
champ	26	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/Retour.svelte
epingles	26	apps/desktop/ui-v2/src/Liste.svelte
cadre	25	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
maj	25	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Reglages.svelte
brouillonId	21	apps/desktop/ui-v2/src/Composition.svelte
page	21	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte
pieces	21	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
selection	21	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Liste.svelte
entree	20	apps/desktop/ui-v2/src/Composition.svelte
groupe	20	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/icones.js
cleCarte	19	apps/desktop/ui-v2/src/Kiosque.svelte
fermer	19	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Lecture.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/Retour.svelte
volet	19	apps/desktop/ui-v2/src/lib/largeurs.svelte.js
champCorps	18	apps/desktop/ui-v2/src/Composition.svelte
corps	18	apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
CLE	17	apps/desktop/ui-v2/src/lib/espacement.svelte.js;apps/desktop/ui-v2/src/lib/largeurs.svelte.js;apps/desktop/ui-v2/src/lib/theme.js;apps/desktop/ui-v2/src/lib/volets.svelte.js
adresse	17	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/GuichetCompte.svelte;apps/desktop/ui-v2/src/Liste.svelte
alerte	17	apps/desktop/ui-v2/src/App.svelte
compte	17	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Retour.svelte
etape	17	apps/desktop/ui-v2/src/Onboarding.svelte
geste	17	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Registre.svelte
groupes	17	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Registre.svelte
debut	16	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/lib/invitation.js
teinte	16	apps/desktop/ui-v2/src/Reglages.svelte
commande	15	apps/desktop/ui-v2/src/Composition.svelte
