kind,old,new
testid,accueil-ajouter-autre,onboarding-add-other
testid,accueil-apercu,onboarding-preview
testid,accueil-beta,onboarding-beta
testid,accueil-comptes,onboarding-accounts
testid,accueil-continuer,onboarding-continue
testid,accueil-progression,onboarding-progress
testid,accueil-recap,onboarding-recap
testid,accueil-retour,onboarding-back
testid,accueil-terminer,onboarding-finish
testid,accueil-theme,onboarding-theme
testid,accueil-themes,onboarding-themes
testid,accueil-volet,onboarding-pane
testid,accueil-volets,onboarding-panes
testid,affichage-auto,display-auto
testid,affichage-espacement,display-spacing
testid,affichage-langue,display-language
testid,affichage-volets,display-panes
testid,afficher-images,show-images
testid,apropos-origine,about-origin
testid,apropos-verifier,about-check
testid,apropos-version,about-version
testid,archiver,archive
testid,attente-portier,screener-pending
testid,attente-source,pending-source
testid,avis-texte,notice-text
testid,barre-annuler,bar-cancel
testid,barre-fil,bar-thread
testid,barre-selection,bar-selection
testid,btn-releve,btn-poll
testid,btn-tiroir,btn-drawer
testid,champ-recherche,search-field
testid,charger-plus,load-more
testid,composition,compose
testid,composition-a,compose-to
testid,composition-annuler,compose-cancel
testid,composition-bouton-cc,compose-cc-button
testid,composition-bouton-cci,compose-bcc-button
testid,composition-brouillon,compose-draft
testid,composition-cc,compose-cc
testid,composition-cci,compose-cci
testid,composition-corps,compose-body
testid,composition-de,compose-from
testid,composition-differe,compose-deferred
testid,composition-differe-annuler,compose-deferred-cancel
testid,composition-differe-confirmer,compose-deferred-confirm
testid,composition-differe-date,compose-deferred-date
testid,composition-envoyer,compose-send
testid,composition-format,compose-format
testid,composition-format-barre,compose-format-bar
testid,composition-format-centre,compose-format-center
testid,composition-format-couleur,compose-format-color
testid,composition-format-droite,compose-format-right
testid,composition-format-effacer,compose-format-clear
testid,composition-format-gauche,compose-format-left
testid,composition-format-gras,compose-format-bold
testid,composition-format-italique,compose-format-italic
testid,composition-format-numerotee,compose-format-numbered
testid,composition-format-police,compose-format-font
testid,composition-format-puces,compose-format-bullets
testid,composition-format-retrait-moins,compose-format-indent-less
testid,composition-format-retrait-plus,compose-format-indent-more
testid,composition-format-souligne,compose-format-underline
testid,composition-format-taille,compose-format-size
testid,composition-important,compose-important
testid,composition-joindre,compose-attach
testid,composition-kicker,compose-kicker
testid,composition-objet,compose-subject
testid,composition-palette,compose-palette
testid,composition-pieces,compose-attachments
testid,composition-plus-tard,compose-later
testid,composition-poids,compose-weight
testid,composition-refus,compose-refusal
testid,composition-suggestions,compose-suggestions
testid,composition-suppr-annuler,compose-delete-cancel
testid,composition-suppr-carte,compose-delete-card
testid,composition-suppr-confirmer,compose-delete-confirm
testid,composition-supprimer,compose-delete
testid,compte-deconnecte,account-disconnected
testid,compte-horizon,account-horizon
testid,compte-nom,account-name
testid,compte-nommer,account-rename
testid,compte-reconnecter,account-reconnect
testid,compte-repere,account-marker
testid,compte-retirer,account-remove
testid,conv-brouillon,conv-draft
testid,corps-echec,body-failure
testid,corps-reessayer,body-retry
testid,decision-modifier,decision-edit
testid,decision-regle-archive,decision-rule-archive
testid,decision-regle-corbeille,decision-rule-trash
testid,decision-regle-ecarte,decision-rule-screened-out
testid,decision-regle-spam,decision-rule-spam
testid,decision-renvoyer,decision-resend
testid,decision-vers-kiosque,decision-to-feed
testid,decision-vers-reception,decision-to-inbox
testid,decision-vers-registre,decision-to-paper-trail
testid,deplacer,move
testid,deplacer-vers,move-to
testid,dossier-brouillons,folder-drafts
testid,ecrire,compose
testid,entete,header
testid,epingler,pin
testid,epingles,pins
