layer,old,new,occurrences,files
e2e-scripts,lignes,lines,59,e2e/tests/espacement.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-volets.spec.js;e2e/tests/retours-14-reception.spec.js;e2e/tests/sections-liste.spec.js;e2e/tests/selection-multiple.spec.js
e2e-scripts,dossier,folder,55,e2e/capture-accueil.mjs;e2e/diag-v2.mjs;e2e/rebuild-v2.mjs;e2e/tests/refonte-defilement.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-3.spec.js;e2e/tests/refonte-volets.spec.js;e2e/tests/selection-multiple.spec.js;scripts/mesurer-sessions.mjs
e2e-scripts,volet,pane,49,e2e/tests/barres-fil.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-8.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-12-entete.spec.js;e2e/tests/retours-14.spec.js
e2e-scripts,cadre,frame,35,e2e/geste-defilement.mjs;e2e/tests/barres-fil.spec.js;e2e/tests/espacement.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-7.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-14-reception.spec.js;e2e/tests/retours-14.spec.js
e2e-scripts,carte,card,35,e2e/tests/mode-organise.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-invitations.spec.js
e2e-scripts,barre,bar,34,e2e/tests/barres-fil.spec.js;e2e/tests/retours-14.spec.js;e2e/tests/selection-multiple.spec.js
e2e-scripts,ligne,line,29,e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-parcours-portes.spec.js;e2e/tests/refonte-retours-3.spec.js;e2e/tests/refonte-retours-7.spec.js;e2e/tests/retours-14-reception.spec.js;scripts/mesurer-sessions.mjs
e2e-scripts,nom,name,29,e2e/coherence-systeme.mjs;e2e/flaky.mjs;e2e/garde-thread-principal.mjs;e2e/launch.mjs;e2e/tests/kiosque-images.spec.js;e2e/tests/mode-organise.spec.js;e2e/tests/retours-14-reception.spec.js
e2e-scripts,corps,body,27,e2e/garde-thread-principal.mjs;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-parcours-portes.spec.js;e2e/tests/refonte-retours-6.spec.js;e2e/tests/refonte-retours-7.spec.js
e2e-scripts,rangee,row,25,e2e/tests/menu-clavier.spec.js;e2e/tests/refonte-retours-7.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-9-nom-compte.spec.js
e2e-scripts,avant,before,20,e2e/tests/espacement.spec.js;e2e/tests/nettoyage.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-parcours-portes.spec.js;e2e/tests/refonte-retours-6.spec.js;e2e/tests/refonte-retours-7.spec.js;e2e/tests/refonte-volets.spec.js
e2e-scripts,comptes,accounts,19,e2e/mesure-v2.mjs;e2e/tests/banc-ram-kiosque.spec.js;e2e/tests/espacement.spec.js;e2e/tests/horizon-import.spec.js;e2e/tests/kiosque-images.spec.js;e2e/tests/mode-organise.spec.js;e2e/tests/nettoyage.spec.js;e2e/tests/refonte-defilement.spec.js;e2e/tests/refonte-parcours-portes.spec.js;e2e/tests/refonte-reconnexion.spec.js;e2e/tests/refonte-retours-8.spec.js;e2e/tests/refonte-retrait-compte.spec.js;e2e/tests/retours-12.spec.js;e2e/tests/retours-14-reception.spec.js;e2e/tests/retours-14.spec.js;e2e/tests/retours-9-nom-compte.spec.js
e2e-scripts,texte,text,18,e2e/garde-thread-principal.mjs;scripts/mesurer-sessions.mjs
e2e-scripts,pastille,badge,17,e2e/tests/refonte-ecran02.spec.js;e2e/tests/retours-14-reception.spec.js;e2e/tests/selection-multiple.spec.js
e2e-scripts,groupes,groups,16,e2e/tests/nettoyage.spec.js;e2e/tests/retours-14-reception.spec.js
e2e-scripts,boiteNav,navMailbox,15,e2e/tests/refonte-retours-8.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-9-nom-compte.spec.js
e2e-scripts,rang,rank,14,e2e/tests/mode-organise.spec.js;e2e/tests/nettoyage.spec.js
e2e-scripts,sonde,probe,14,e2e/port-cdp.mjs;e2e/tests/demarrage.spec.js;e2e/tests/refonte-ecran02.spec.js
e2e-scripts,titre,title,14,e2e/tests/refonte-ecran02.spec.js;e2e/tests/repere-ligne.spec.js;e2e/tests/retours-14-reception.spec.js
e2e-scripts,mesure,measure,13,e2e/mesure-scrollbar.mjs;e2e/tests/espacement.spec.js
e2e-scripts,premiere,first,13,e2e/tests/mode-organise.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/repere-ligne.spec.js
e2e-scripts,bouton,button,12,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,largeur,width,12,e2e/capture-accueil.mjs;e2e/tests/refonte-volets.spec.js
e2e-scripts,regle,rule,12,e2e/tests/kiosque-images.spec.js;e2e/tests/mode-organise.spec.js;e2e/tests/refonte-ecran02.spec.js;e2e/tests/retours-14-reception.spec.js
e2e-scripts,Ligne,Line,11,scripts/terrain.ps1
e2e-scripts,caseDe,checkboxOf,11,e2e/tests/selection-multiple.spec.js
e2e-scripts,epingler,pin,11,e2e/tests/espacement.spec.js;e2e/tests/refonte-retours-7.spec.js
e2e-scripts,injecterArrivee,injectArrival,11,e2e/launch.mjs;e2e/tests/kiosque-images.spec.js;e2e/tests/mode-organise.spec.js;e2e/tests/retours-14-reception.spec.js
e2e-scripts,jeton,token,11,e2e/coherence-systeme.mjs
e2e-scripts,journal,log,11,e2e/tests/demarrage.spec.js;e2e/tests/refonte-defilement.spec.js
e2e-scripts,blocs,blocks,10,e2e/tests/refonte-retours-8.spec.js;e2e/tests/repere-ligne.spec.js
