old,new
boite.reception,mailbox.inbox
boite.receptionOrganisee,mailbox.organizedInbox
boite.kiosque,mailbox.feed
boite.registre,mailbox.paper_trail
boite.portier,mailbox.screener
boite.envoyes,mailbox.sent
boite.brouillons,mailbox.drafts
boite.indesirables,mailbox.junk
boite.archives,mailbox.archive
boite.corbeille,mailbox.trash
nav.toutes,nav.all
nav.boites,nav.mailboxes
entete.recherche,header.search
entete.chercher,header.search
entete.effacerRecherche,header.clearSearch
entete.ecrire,header.compose
entete.organise,header.organized
action.deplacerVers,action.moveTo
toast.expediteurDeplace,toast.senderMoved
erreur.sansAdresse,error.noAddress
portier.sousTitre1,screener.subtitle1
portier.sousTitre2,screener.subtitle2
portier.sousTitre3,screener.subtitle3
portier.question,screener.question
portier.oui,screener.yes
portier.non,screener.no
portier.ouiChoix,screener.yesChoice
portier.nonChoix,screener.noChoice
portier.ouiVers,screener.yesTo
portier.nonSeront,screener.noWillBe
portier.versReception,screener.toInbox
portier.versKiosque,screener.toFeed
portier.versRegistre,screener.toPaperTrail
portier.laReception,screener.theInbox
portier.leKiosque,screener.theFeed
portier.leRegistre,screener.thePaperTrail
portier.regleSpam,screener.ruleSpam
portier.regleArchive,screener.ruleArchive
portier.regleCorbeille,screener.ruleTrash
portier.regleEcarte,screener.rule-screened-out
portier.vide,screener.empty
portier.historique,screener.history
portier.historiqueVide,screener.historyEmpty
portier.reintegrer,screener.reinstate
fil.attentePortier,thread.screenerPending
portier.ecarte,screener.screened_out
portier.ecarteSpam,screener.screenedOutSpam
portier.ecarteArchive,screener.screenedOutArchive
portier.ecarteCorbeille,screener.screenedOutTrash
toast.portierOuiNu,toast.screenerYesBare
toast.portierOuiVers,toast.screenerYesTo
toast.portierNonNu,toast.screenerNoBare
toast.portierNonSpam,toast.screenerNoSpam
toast.portierNonArchive,toast.screenerNoArchive
toast.portierNonCorbeille,toast.screenerNoTrash
registre.fil,paper_trail.thread
registre.fils,paper_trail.threads
registre.voirPlus,paper_trail.seeMore
tri.dateDesc,sort.dateDesc
tri.dateAsc,sort.dateAsc
tri.alphaAZ,sort.alphaAz
tri.alphaZA,sort.alphaZa
tri.aria,sort.aria
liste.sectionNouveau,list.sectionNew
liste.sectionConsulte,list.sectionSeen
liste.gestes,list.gestures
liste.deplacerVers,list.moveTo
liste.ecarter,list.screen_out
pile.misDeCote,pile.setAside
pile.mettre,pile.put
pile.reprendre,pile.resume
pile.voirTableau,pile.see-board
pile.ouvrir,pile.open
pile.tableauTitre,pile.boardTitle
pile.tableauNote,pile.boardNote
pile.tableauVide,pile.boardEmpty
toast.misDeCote,toast.setAside
toast.reprisPile,toast.resumedPile
kiosque.sousTitre1,feed.subtitle1
kiosque.sousTitre2,feed.subtitle2
kiosque.sectionNonLus,feed.sectionUnread
kiosque.sectionLus,feed.section-read
kiosque.toutLu,feed.all-read
kiosque.vide,feed.empty
toast.portierReintegre,toast.screenerReinstated
groupe.portier,group.screener
reglages.portierDesc,settings.screenerDesc
reglages.portierOui,settings.screenerYes
reglages.portierOuiDesc,settings.screenerYesDesc
reglages.portierNon,settings.screenerNo
reglages.portierNonDesc,settings.screenerNoDesc
