fr,en
reception,inbox
kiosque,feed
registre,paper_trail
portier,screener
nettoyage,cleanup
nettoyer,clean
mis de cote,set_aside
mis_de_cote,set_aside
misdecote,set_aside
de cote,aside
cote,aside
pile,pile
repere,marker
reperes,markers
fil,thread
fils,threads
fente,slot
avis,notice
guichet,desk
accueil,onboarding
retour,back
retours,feedback
marque,brand
drapeau,flag
ue,eu
icone,icon
icones,icons
lecture,reading
liste,list
composition,compose
compo,compose
reglages,settings
reglage,setting
volets,panes
volet,pane
espacement,spacing
largeur,width
largeurs,widths
organise,organized
organisee,organized
boite,mailbox
boites,mailboxes
clavier,keyboard
corps,body
liens,links
lien,link
quand,when
texte,text
textes,texts
vocabulaires,vocabularies
vocabulaire,vocabulary
initiales,initials
tri,sort
trier,sort
tris,sorts
theme,theme
themes,themes
entete,header
entetes,headers
statut,status
erreur,error
erreurs,errors
raccourci,shortcut
raccourcis,shortcuts
puce,chip
puces,chips
onglet,tab
onglets,tabs
depuis,since
groupe,group
groupes,groups
horizon,horizon
migration,migration
nav,nav
langue,language
langues,languages
brouillon,draft
brouillons,drafts
corbeille,trash
indesirables,junk
indesirable,junk
archives,archive
archive,archive
archiver,archive
archivee,archived
archivees,archived
envoyes,sent
envoye,sent
envoi,send
envois,sends
envoyer,send
dossier,folder
dossiers,folders
compte,account
comptes,accounts
message,message
messages,messages
conversation,conversation
conv,conv
invitation,invitation
invitations,invitations
inv,inv
releve,poll
relever,poll
relevee,polled
releves,polls
veilleur,watcher
veille,watch
veiller,watch
demenagement,relocation
demenager,relocate
geste,gesture
gestes,gestures
agir,act
echo,echo
echos,echos
correspondant,contact
correspondants,contacts
rattrapage,backfill
rattraper,backfill
rattrapes,backfilled
apercu,preview
apercus,previews
piece,attachment
pieces,attachments
perimetre,scope
perimetres,scopes
plage,range
plages,ranges
routage,routing
routages,routings
router,route
regle,rule
regles,rules
expediteur,sender
expediteurs,senders
destinataire,recipient
destinataires,recipients
adresse,address
adresses,addresses
nom,name
noms,names
sujet,subject
objet,subject
ligne,line
lignes,lines
rangee,row
rangees,rows
rang,rank
rangs,ranks
etat,state
etats,states
decor,fixture
banc,bench
diagnostic,diag
arrivee,arrival
arrivees,arrivals
borne,bound
bornes,bounds
borner,bound
garde,guard
vol,flight
vols,flights
en vol,in_flight
pompe,pump
hors pompe,off_pump
hors,off
passe,pass
passes,passes
legere,light
cycle,cycle
sonde,probe
sondes,probes
sonder,probe
filet,net
jeton,token
jetons,tokens
retenue,hold
couture,seam
cadre,frame
cadres,frames
carte,card
cartes,cards
barre,bar
barres,bars
menu,menu
toast,toast
pastille,badge
pastilles,badges
teinte,hue
teintes,hues
encre,ink
fond,bg
fonds,bgs
sombre,dark
clair,light
nuit,night
maj,update
majs,updates
verifier,check
installer,install
installation,installing
chantier,job
terrain,field
solde,close
solder,settle
andon,andon
appel,call
appels,calls
commande,command
commandes,commands
lancer,start
lanceur,launcher
ajout,add
ajouter,add
ajoute,added
factice,fake
faux,fake
serveur,server
premier,first
premiere,first
dernier,last
derniere,last
nouveau,new
nouvelle,new
neuve,fresh
neuf,fresh
ancien,old
ancienne,old
ouvrir,open
ouvert,open
ouverte,open
ouverts,open
ouverture,opening
fermer,close
ferme,closed
fermee,closed
fermeture,closing
charger,load
chargement,loading
recharger,reload
relire,reread
relu,reread
lire,read
lu,read
lus,read
lue,read
lues,read
non lus,unread
non_lus,unread
nonlus,unread
non lues,unread
nonlues,unread
ecrire,write
ecrit,written
ecriture,writing
lecteur,reader
attente,pending
attendre,wait
attendu,expected
pause,pause
reprise,resume
reprendre,resume
repris,resumed
arret,stop
arreter,stop
coupe,cut
coupure,cut
depart,departure
retard,delay
delai,delay
duree,duration
temps,time
chrono,stopwatch
cout,cost
couts,costs
budget,budget
seuil,threshold
plafond,cap
plancher,floor
limite,limit
limites,limits
total,total
totaux,totals
partie,part
moitie,half
nombre,count
compter,count
date,date
dates,dates
heure,time
heures,hours
jour,day
jours,days
mois,month
annee,year
annees,years
semaine,week
hier,yesterday
demain,tomorrow
matin,morning
soir,evening
midi,noon
minuit,midnight
aujourdhui,today
aujourd,today
debut,start
fin,end
epoch,epoch
debut_epoch,start_epoch
fin_epoch,end_epoch
methode,method
lieu,location
organisateur,organizer
organisateurs,organizers
repondant,attendee
journee,day
entiere,whole
journee entiere,all_day
journee_entiere,all_day
initialisee,initialized
initialisees,initialized
initiale,initial
traites,handled
traite,handled
annule,cancelled
annulee,cancelled
annuler,cancel
refusee,refused
refuse,refused
refuser,refuse
refus,refusal
verdict,verdict
session,session
sessions,sessions
notification,notification
notifications,notifications
bulle,bubble
bulles,bubbles
bandeau,banner
avertissement,warning
alerte,alert
alertes,alerts
panne,failure
pannes,failures
gel,freeze
gels,freezes
verrou,lock
verrous,locks
cle,key
cles,keys
identifiant,identifier
identifiants,identifiers
mot de passe,password
mot_de_passe,password
mdp,password
mot,word
mots,words
phrase,sentence
lettre,letter
lettres,letters
caractere,char
caracteres,chars
glyphe,glyph
glyphes,glyphs
vignette,thumbnail
silhouette,silhouette
trait,stroke
traits,strokes
ombre,shadow
ombres,shadows
surface,surface
bordure,border
marge,margin
marges,margins
paragraphe,paragraph
resume,summary
long,long
longue,long
court,short
courte,short
large,wide
etroit,narrow
gros,big
grosse,big
petit,small
petite,small
grand,large
grande,large
moyen,medium
moyenne,medium
section,section
sections,sections
categorie,category
categories,categories
etiquette,label
etiquettes,labels
libelle,label
libelles,labels
epingle,pin
epingles,pins
epingler,pin
epinglee,pinned
desepingler,unpin
tampon,buffer
prochain,next
prochaine,next
suivant,next
suivante,next
precedent,previous
precedente,previous
tour,turn
tours,turns
boucle,loop
frappe,keystroke
frappes,keystrokes
touche,key
touches,keys
souris,mouse
survol,hover
survoler,hover
selection,selection
selectionner,select
selectionne,selected
coche,checked
cocher,check
cochee,checked
decocher,uncheck
lot,batch
lots,batches
masse,bulk
serie,series
compteur,counter
compteurs,counters
denominateur,denominator
progression,progress
avancement,progress
etape,step
etapes,steps
phase,phase
phases,phases
revue,review
gate,gate
rouge,red
vert,green
verte,green
version,version
versions,versions
mise a jour,update
telechargement,download
telecharger,download
poste,workstation
postes,workstations
machine,machine
reseau,network
coffre,vault
secret,secret
jeu,set
essai,trial
enveloppe,envelope
enveloppes,envelopes
courrier,mail
journal,log
journaux,logs
trace,trace
traces,traces
mesure,measure
mesures,measures
mesurer,measure
reparation,repair
reparations,repairs
heritage,legacy
heritee,legacy
fantome,phantom
colonne,column
colonnes,columns
adoption,adoption
adopter,adopt
synchro,sync
synchroniser,sync
synchronisation,syncing
probleme,problem
problemes,problems
utilisateur,user
proprete,cleanliness
entree,entry
entrees,entries
sortie,output
sorties,outputs
bloc,block
blocs,blocks
transfere,forwarded
transferer,forward
transfert,forward
fenetre,window
fenetres,windows
vide,empty
vider,clear
plein,full
vrai,true
vraie,true
seul,alone
seule,alone
tous,all
toutes,all
tout,all
toute,all
aucun,none
aucune,none
deja,already
encore,still
apres,after
avant,before
vers,to
sans,without
avec,with
pour,for
sur,on
sous,under
par,by
dans,in
est,is
ete,been
fait,done
faire,do
mettre,put
mis,put
mise,put
prendre,take
pris,taken
voir,see
dire,say
dit,said
aller,go
venir,come
tenir,hold
tenu,held
donner,give
trouver,find
trouve,found
montrer,show
reste,remaining
meme,same
autre,other
autres,others
chaque,each
plusieurs,several
sinon,else
selon,per
aussi,also
ainsi,thus
alors,then
donc,so
puis,then
comme,like
lors,at
pendant,during
tant,while
trop,too
peu,few
beaucoup,many
tres,very
bien,well
mal,badly
mieux,better
pire,worse
moins,less
plus,more
assez,enough
peut,can
doit,must
veut,wants
sait,knows
vaut,worth
faut,must
tete,head
queue,tail
haut,top
bas,bottom
gauche,left
droite,right
milieu,middle
centre,center
bord,edge
coin,corner
pas,not
non,no
oui,yes
choix,choice
question,question
image,image
images,images
autoriser,allow
autorise,allowed
interdit,forbidden
bloque,blocked
bloquees,blocked
permis,allowed
expedie,sent
repondre,reply
repond,reply
reponse,reply
reponses,replies
supprimer,delete
supprime,deleted
supprimee,deleted
supprimees,deleted
suppr,delete
deplacer,move
deplace,moved
marquer,mark
marque,brand
marques,brands
signaler,report
signale,reported
vu,seen
vue,view
vues,views
ecran,screen
ecrans,screens
page,page
pages,pages
panneau,panel
panneaux,panels
zone,area
zones,areas
champ,field
champs,fields
case,checkbox
cases,checkboxes
bouton,button
boutons,buttons
titre,title
titres,titles
note,note
notes,notes
courriel,email
chemin,path
chemins,paths
enregistrer,save
enregistre,saved
enregistree,saved
enregistrement,save
sauver,save
sauvegarde,save
inconnu,unknown
inconnue,unknown
impossible,failed
introuvable,not_found
absent,absent
absente,absent
present,present
presente,present
disponible,available
indisponible,unavailable
actif,active
active,active
inactif,inactive
visible,visible
invisible,invisible
cache,hidden
cachee,hidden
masque,mask
masquer,hide
montre,shown
chaine,string
chaines,strings
forme,shape
formes,shapes
style,style
couleur,color
couleurs,colors
police,font
taille,size
tailles,sizes
propre,clean
commun,common
unique,single
simple,simple
double,double
tiers,third
quart,quarter
recu,received
recus,received
recherche,search
chercher,search
affich,display
affichage,display
afficher,show
demarrer,start
demarrage,startup
terminer,finish
termine,done
demande,request
demander,request
demandes,requests
cible,target
cibles,targets
bilan,report
bilans,reports
mesuree,measured
flux,stream
purge,purge
purger,purge
quarantaine,quarantine
suggere,suggested
suggerer,suggest
suggestions,suggestions
completer,complete
complete,complete
substituer,substitute
garnir,populate
reposer,reset
poser,set
posee,set
ecarte,screened_out
ecarter,screen_out
ecartee,screened_out
reintegrer,reinstate
reintegre,reinstated
historique,history
defaut,default
defauts,defaults
video,video
present_en,present_in
consulte,seen
consultes,seen
ajour,up_to_date
a jour,up_to_date
a_jour,up_to_date
inventaire,inventory
programme,scheduled
programmer,schedule
programmes,scheduled
differe,deferred
differee,deferred
plus tard,later
plus_tard,later
tard,later
merci,thanks
bienvenue,welcome
bonjour,hello
poids,weight
rapatriement,retrieving
rapatrier,retrieve
joindre,attach
joints,attached
gras,bold
italique,italic
souligne,underline
aligner,align
numerotee,numbered
retrait,indent
format,format
emetteur,sending
generique,generic
autorisation,authorization
verification,checking
preparation,preparing
echec,failure
echecs,failures
manquantes,missing
invalide,invalid
interrompu,interrupted
partiel,partial
partielle,partial
instant,now
minutes,minutes
perf,perf
crash,crash
telemetrie,telemetry
connexion,connection
reconnexion,reconnection
reconnecter,reconnect
deconnecte,disconnected
nommer,rename
retire,removed
retirer,remove
renvoyer,resend
renvoi,resend
abandonner,discard
abandon,discard
ignorer,dismiss
activer,enable
reessayer,retry
continuer,continue
replier,collapse
deplier,expand
effacer,clear
accepter,accept
provisoire,tentative
decision,decision
decisions,decisions
modifier,edit
seront,will_be
se,self
repete,repeats
locale,local
kicker,kicker
origine,origin
apropos,about
valeur,value
voile,veil
tiroir,drawer
poignee,handle
aligner,align
chips,chips
tableau,board
voir,see
eleve,high
faible,low
nu,bare
nue,bare
tete_message,message_head
adr,addr
exp,sender
auteur,author
disque,disk
scene,scene
anneau,ring
exemple,example
contenu,content
choisie,chosen
boucle,loop
espace,space
mot,word
coche,check
atelier,workshop
glu,glue
mur,wall
bloque,blocked
ctx,ctx
contexte,context
lentes,slow
sous_agents,subagents
temoin,witness
nettoyage_session,cleanup_session
seed,seed
uid,uid
faut_relever,must_poll
doit_relever,must_poll
bloc_boite,mailbox_block
brancher,wire
comparateur,comparator
pad,pad
gabarit,template
gabarits,templates
sauvegarde,save
scene,scene
resoudre,resolve
patcher,patch
minuterie,timer
fiche,card
accorder,grant
agrandir,enlarge
reduire,shrink
melange,mixed
occupe,taken
precis,exact
plafond,cap
dedoublonnage,dedup
classement,ranking
appariement,matching
extraire,extract
rendre,render
rend,renders
tient,fits
juste,just
tenir,hold
tenue,held
cible,target
en cours,in_progress
en_cours,in_progress
en attente,pending
en_attente,pending
en ligne,online
en_ligne,online
hors ligne,offline
hors_ligne,offline
hors fenetre,off_window
faite,done
faites,done
blanc,blank
modifie,modified
modifiee,modified
catalogue,catalog
catalogues,catalogs
rien,nothing
nous,us
drapeaux,flags
modale,modal
listes,lists
en synchro,syncing
en reponse,replying
en selection,selecting
en,in
sous,under
socket sous,inner_socket
repere local,local_marker
gabarit corps,body_template
messages ouverts,open_messages
cle carte,card_key
cle msg,msg_key
cle ligne,row_key
cle vol,flight_key
champ corps,body_field
champ recherche,search_field
champ a,to_field
champ cc,cc_field
champ cci,bcc_field
lignes brouillons,draft_rows
menu gestes,gesture_menu
menu decision,decision_menu
menu deplacer,move_menu
menu tri,sort_menu
jeton cycle,cycle_token
jeton nav,nav_token
jeton recherche,search_token
jeton signature,signature_token
jeton suggere,suggest_token
vol sauvegarde,save_flight
zone corps,body_area
nom ouvert,name_open
ouvert,is_open
ouverte,is_open
ouverts,is_open
seule,single
premiere,first
legere,light
clair,light
doit relever,must_poll
faut relever,must_poll
rattrapage corps,body_backfill
rattraper corps,backfill_bodies
rattrapage apercus,preview_backfill
